2024-01-01,00:08:00,D001,ON
2024-01-01,00:08:48,D001,OFF
2024-01-01,00:11:00,M002,ON
2024-01-01,00:11:48,M002,OFF
2024-01-01,00:22:00,M003,ON
2024-01-01,00:22:13,M003,OFF
2024-01-01,00:24:00,D001,ON
2024-01-01,00:24:57,D001,OFF
2024-01-01,00:37:00,M003,ON
2024-01-01,00:37:37,M003,OFF
2024-01-01,00:39:00,M002,ON
2024-01-01,00:39:35,M002,OFF
2024-01-01,00:44:00,M003,ON
2024-01-01,00:44:43,M003,OFF
2024-01-01,01:05:00,M001,ON
2024-01-01,01:05:08,M001,OFF
2024-01-01,01:08:00,M003,ON
2024-01-01,01:08:18,M003,OFF
2024-01-01,01:09:00,M003,ON
2024-01-01,01:09:00,D001,ON
2024-01-01,01:09:13,D001,OFF
2024-01-01,01:09:18,M003,OFF
2024-01-01,01:25:00,M003,ON
2024-01-01,01:25:07,M003,OFF
2024-01-01,01:28:00,M001,ON
2024-01-01,01:28:42,M001,OFF
2024-01-01,01:37:00,M001,ON
2024-01-01,01:37:16,M001,OFF
2024-01-01,01:44:00,M002,ON
2024-01-01,01:44:08,M002,OFF
2024-01-01,01:46:00,M003,ON
2024-01-01,01:46:25,M003,OFF
2024-01-01,01:52:00,M003,ON
2024-01-01,01:52:21,M003,OFF
2024-01-01,02:01:00,I002,ON
2024-01-01,02:02:00,M003,ON
2024-01-01,02:02:29,M003,OFF
2024-01-01,02:06:00,M001,ON
2024-01-01,02:06:00,M002,ON
2024-01-01,02:06:15,M002,OFF
2024-01-01,02:06:56,M001,OFF
2024-01-01,02:07:00,M003,ON
2024-01-01,02:07:20,M003,OFF
2024-01-01,02:10:00,D001,ON
2024-01-01,02:10:51,D001,OFF
2024-01-01,02:13:00,M002,ON
2024-01-01,02:13:55,M002,OFF
2024-01-01,02:15:00,D001,ON
2024-01-01,02:15:05,D001,OFF
2024-01-01,02:18:00,M001,ON
2024-01-01,02:18:06,M001,OFF
2024-01-01,02:23:00,M001,ON
2024-01-01,02:23:48,M001,OFF
2024-01-01,02:44:00,M001,ON
2024-01-01,02:44:35,M001,OFF
2024-01-01,03:01:00,M001,ON
2024-01-01,03:01:59,M001,OFF
2024-01-01,03:10:00,D001,ON
2024-01-01,03:10:09,D001,OFF
2024-01-01,03:18:00,M002,ON
2024-01-01,03:18:28,M002,OFF
2024-01-01,03:20:00,I002,OFF
2024-01-01,03:36:00,M003,ON
2024-01-01,03:36:38,M003,OFF
2024-01-01,03:43:00,M002,ON
2024-01-01,03:43:07,M002,OFF
2024-01-01,03:47:00,D001,ON
2024-01-01,03:47:16,D001,OFF
2024-01-01,04:18:00,M003,ON
2024-01-01,04:18:34,M003,OFF
2024-01-01,04:26:00,D001,ON
2024-01-01,04:26:36,D001,OFF
2024-01-01,04:33:00,D001,ON
2024-01-01,04:33:36,D001,OFF
2024-01-01,04:45:00,M001,ON
2024-01-01,04:45:51,M001,OFF
2024-01-01,04:47:00,M002,ON
2024-01-01,04:47:26,M002,OFF
2024-01-01,05:02:00,I002,ON
2024-01-01,05:03:00,D001,ON
2024-01-01,05:03:16,D001,OFF
2024-01-01,05:12:00,M002,ON
2024-01-01,05:12:36,M002,OFF
2024-01-01,05:13:00,D001,ON
2024-01-01,05:13:06,D001,OFF
2024-01-01,05:21:00,M002,ON
2024-01-01,05:21:51,M002,OFF
2024-01-01,05:33:00,D001,ON
2024-01-01,05:33:29,D001,OFF
2024-01-01,05:38:00,M002,ON
2024-01-01,05:38:18,M002,OFF
2024-01-01,05:49:00,M002,ON
2024-01-01,05:49:56,M002,OFF
2024-01-01,05:51:00,M001,ON
2024-01-01,05:51:10,M001,OFF
2024-01-01,06:07:00,D001,ON
2024-01-01,06:07:11,D001,OFF
2024-01-01,06:15:00,M002,ON
2024-01-01,06:15:40,M002,OFF
2024-01-01,06:18:00,D001,ON
2024-01-01,06:18:00,I002,OFF
2024-01-01,06:18:09,D001,OFF
2024-01-01,06:22:00,D001,ON
2024-01-01,06:22:45,D001,OFF
2024-01-01,06:27:00,M003,ON
2024-01-01,06:27:53,M003,OFF
2024-01-01,06:34:00,D001,ON
2024-01-01,06:34:08,D001,OFF
2024-01-01,06:52:00,M003,ON
2024-01-01,06:52:39,M003,OFF
2024-01-01,06:58:00,D001,ON
2024-01-01,06:58:42,D001,OFF
2024-01-01,07:00:00,M001,ON
2024-01-01,07:00:38,M001,OFF
2024-01-01,07:01:00,M003,ON
2024-01-01,07:01:22,M003,OFF
2024-01-01,07:03:00,M001,ON
2024-01-01,07:03:00,D001,ON
2024-01-01,07:03:10,D001,OFF
2024-01-01,07:03:44,M001,OFF
2024-01-01,07:05:00,M002,ON
2024-01-01,07:05:00,M003,ON
2024-01-01,07:05:00,D001,ON
2024-01-01,07:05:20,M002,OFF
2024-01-01,07:05:24,D001,OFF
2024-01-01,07:05:50,M003,OFF
