hr_mean,hr_std,spo2_mean,spo2_std
70.75,1.75,96.15,0.05000000000000426
62.6,0.0,97.3,0.0
68.75,3.25,95.45,0.45000000000000284
70.2,4.700000000000003,97.69999999999999,0.3999999999999986
67.9,0.0,95.7,0.0
71.15,8.949999999999996,98.05,0.25
71.30000000000001,1.3999999999999986,98.65,1.1499999999999986
69.7,0.0,96.6,0.0
75.25,6.75,96.3,0.7999999999999972
81.7,0.0,98.2,0.0
70.2,4.824935232725924,97.66666666666667,1.1953614051360768
69.2,9.5,97.30000000000001,1.8999999999999986
71.5,0.0,96.6,0.0
83.0,0.0,95.9,0.0
80.5,0.0,97.2,0.0
78.94999999999999,6.149999999999999,96.44999999999999,0.8500000000000014
78.8,0.0,96.3,0.0
70.35,3.8500000000000014,97.4,1.5
74.0,0.0,95.8,0.0
77.8,0.0,96.8,0.0
68.1,0.0,99.3,0.0
79.25,2.1500000000000057,98.85,0.9499999999999957
70.0,7.629329372013418,97.76666666666665,1.1614167593456277
64.9,2.8000000000000007,95.65,0.14999999999999858
75.7,0.0,98.5,0.0
74.2,12.599999999999998,97.05000000000001,1.1499999999999986
71.1,0.0,97.9,0.0
65.9,0.0,98.7,0.0
71.8,0.0,97.2,0.0
76.7,0.0,96.6,0.0
70.15,1.3500000000000014,97.25,0.15000000000000568
74.1,0.0,94.7,0.0
64.5,0.0,96.2,0.0
68.5,5.5,98.30000000000001,0.8999999999999986
76.2,0.0,98.1,0.0
69.8,0.0,97.3,0.0
67.75,2.8499999999999943,96.65,1.8500000000000014
78.0,0.0,95.9,0.0
82.5,0.0,95.7,0.0
74.0,0.0,95.7,0.0
61.7,0.0,95.8,0.0
72.15,1.8500000000000014,96.65,1.9499999999999957
64.7,0.0,96.4,0.0
74.65,0.05000000000000426,97.9,1.0
59.3,0.0,96.3,0.0
67.9,0.0,95.7,0.0
71.43333333333334,7.452218163443391,96.73333333333333,2.332857094256358
74.45,3.75,98.25,0.75
75.0,0.0,94.4,0.0
79.7,0.0,97.6,0.0
72.35,15.550000000000004,97.15,0.8500000000000014
85.4,7.100000000000001,96.75,0.5499999999999972
64.15,6.149999999999999,96.55,0.04999999999999716
63.95,2.950000000000003,97.4,1.6000000000000014
73.0,0.0,94.4,0.0
61.3,0.0,98.3,0.0
68.95,1.4500000000000028,96.15,1.9499999999999957
61.8,0.0,96.4,0.0
65.4,0.0,98.5,0.0
77.6,0.0,98.5,0.0
75.1,0.0,97.6,0.0
78.9,0.0,93.4,0.0
83.1,0.0,97.7,0.0
61.8,0.0,98.8,0.0
65.3,7.1049278673326475,96.89999999999999,2.060744202143166
80.7,0.0,92.7,0.0
84.05,1.4500000000000028,96.55,0.75
78.3,0.0,96.2,0.0
62.2,0.0,96.7,0.0
71.6,0.0,97.1,0.0
80.3,0.0,96.0,0.0
82.3,0.0,97.8,0.0
69.6,0.8000000000000043,98.44999999999999,0.3500000000000014
82.5,0.0,94.9,0.0
78.5,8.0,97.7,0.20000000000000284
72.95,9.450000000000003,98.1,0.10000000000000142
78.1,0.0,99.9,0.0
68.4,0.0,99.4,0.0
72.1,0.0,97.3,0.0
65.55,10.95,97.4,1.3000000000000043
71.5,0.0,98.2,0.0
63.9,0.0,98.1,0.0
67.7,0.0,98.5,0.0
77.0,2.5,97.9,0.30000000000000426
74.05,7.25,98.6,0.6000000000000014
75.35,1.75,97.65,1.6499999999999986
76.6,6.199999999999995,97.44999999999999,0.14999999999999858
72.75,3.1500000000000057,98.80000000000001,0.3999999999999986
65.25,2.549999999999997,96.0,1.5
80.75,3.1500000000000057,98.8,1.2000000000000028
69.2,0.0,96.8,0.0
80.9,0.0,95.9,0.0
73.15,7.149999999999999,96.1,0.0
61.5,0.0,98.4,0.0
61.900000000000006,6.5000000000000036,96.65,1.8500000000000014
